city,shape,latitude,longitude,date,province,duration,disp_lat,disp_long
Toronto,Spherical,43.666667,-79.416667,1994-10-10,ON,3600,43.691053021830136,-79.43445650406237
St. John's,Spherical,47.55,-52.666667,1998-10-10,NF,7200,47.5515525858663,-52.659555395451015
Victoria,Cylindrical,46.216667,-63.483333,2000-10-10,BC,30,46.246579541173396,-63.45775106921738
Vancouver,Other,49.25,-123.133333,2001-10-10,BC,300,49.23327129017562,-123.12300999348926
Victoria,Unknown,46.216667,-63.483333,2002-10-10,BC,120,46.214229330085786,-63.44337520953215
Portage La Prairie,Other,49.966667,-98.3,2004-10-10,MB,1200,49.936845485456864,-98.31258255286141
Nobel,Unknown,45.416667,-80.1,2004-10-10,ON,300,45.38760839451161,-80.080134548191
London,Other,42.983333,-81.25,2008-10-10,ON,120,42.96210051920209,-81.26211967976762
Hamilton,Light,43.25,-79.833333,2011-10-10,ON,4,43.23687647391111,-79.85183844119251
Ottawa,Light,45.416667,-75.7,2013-10-10,ON,10,45.42298024609741,-75.69940833162516
Harvey Station,Light,45.716667,-67,2013-10-10,NB,120,45.68220901170803,-67.00751633983104
Parry Sound,Disk/Circle,45.333333,-80.033333,1999-10-11,ON,6,45.34986200898829,-80.00604222344181
St. John's,Light,47.55,-52.666667,2009-10-11,NF,5,47.56764969451352,-52.68788096316213
Hamilton,Cylindrical,43.25,-79.833333,2013-10-11,ON,3600,43.23052589785308,-79.84739383554027
Pickering,Disk/Circle,43.866667,-79.033333,2013-10-11,ON,300,43.89359685814064,-79.0029157979036
Windsor,Light,45.583333,-72,2013-10-11,ON,300,45.57893307372871,-71.9966188069433
Edmonton,Square/Rectangular,53.55,-113.5,1966-10-01,AB,300,53.52010069252923,-113.50352211833
Kingston,Spherical,44.233333,-76.483333,1970-10-01,ON,180,44.24709050159845,-76.44743668550572
Victoria,Spherical,46.216667,-63.483333,1987-10-01,BC,900,46.223790345062135,-63.472593231051604
Markham,Cylindrical,43.866667,-79.266667,2000-10-01,ON,600,43.87170189537164,-79.25445815011916
Peterborough,Unknown,44.3,-78.333333,2003-10-01,ON,30,44.310289313327516,-78.37058296345114
Quesnel,Other,52.983333,-122.483333,2003-10-01,BC,120,52.998423346951036,-122.5146584681043
Saskatoon,Disk/Circle,52.133333,-106.666667,2004-10-01,SK,7,52.14152207706067,-106.70073674058595
Hamilton,Light,43.25,-79.833333,2005-10-01,ON,15,43.22563233403489,-79.86024420048982
Barrie,Disk/Circle,44.383333,-79.7,2007-10-01,ON,60,44.41632162230032,-79.69919496510178
North Battleford,Disk/Circle,52.766667,-108.283333,2007-10-01,SK,60,52.78812751101386,-108.26532253097687
Delta,Disk/Circle,50.183333,-98.316667,2008-10-01,BC,5,50.2053768302122,-98.30248958090378
